


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .486      -.618    .1971   .207E+00      1.854    .4500   .188E-34      5.754    .4500   .000E+00       .000    .4500   .121E-40
       .493      -.561    .2099   .222E+00      1.851    .4500   .183E-34      5.752    .4500   .000E+00       .000    .4500   .148E-40
       .500      -.511    .2226   .236E+00      1.848    .4500   .163E-34      5.751    .4500   .000E+00       .000    .4500   .179E-40
       .507      -.467    .2352   .250E+00      1.845    .4500   .125E-34      5.749    .4500   .000E+00       .000    .4500   .218E-40
       .514      -.429    .2478   .263E+00      1.843    .4500   .600E-35      5.747    .4500   .000E+00       .000    .4500   .263E-40
       .520      -.395    .2604   .276E+00      1.840    .4500  -.412E-35      5.746    .4500   .000E+00       .000    .4500   .318E-40
       .523      -.384    .2646   .280E+00      1.839    .4500  -.848E-35      5.745    .4500   .000E+00       .000    .4500   .338E-40
       .525      -.373    .2691   .285E+00      1.838    .4500  -.139E-34      5.744    .4500   .000E+00       .000    .4500   .362E-40
       .527      -.362    .2737   .290E+00      1.837    .4500  -.202E-34      5.744    .4500   .000E+00       .000    .4500   .387E-40
       .530      -.352    .2782   .294E+00      1.836    .4500  -.273E-34      5.743    .4500   .000E+00       .000    .4500   .414E-40
       .533      -.340    .2832   .299E+00      1.835    .4500  -.363E-34      5.743    .4500   .000E+00       .000    .4500   .446E-40
       .535      -.329    .2881   .304E+00      1.834    .4500  -.465E-34      5.742    .4500   .000E+00       .000    .4500   .480E-40
       .538      -.319    .2930   .309E+00      1.833    .4500  -.582E-34      5.741    .4500   .000E+00       .000    .4500   .517E-40
       .541      -.309    .2979   .313E+00      1.832    .4500  -.715E-34      5.741    .4500   .000E+00       .000    .4500   .556E-40
       .544      -.299    .3028   .318E+00      1.831    .4500  -.866E-34      5.740    .4500   .000E+00       .000    .4500   .598E-40
       .546      -.290    .3076   .323E+00      1.830    .4500  -.104E-33      5.739    .4500   .000E+00       .000    .4500   .644E-40
       .549      -.281    .3124   .328E+00      1.828    .4500  -.123E-33      5.739    .4500   .000E+00       .000    .4500   .692E-40
       .552      -.272    .3172   .332E+00      1.827    .4500  -.144E-33      5.738    .4500   .000E+00       .000    .4500   .744E-40
       .554      -.263    .3219   .337E+00      1.826    .4500  -.169E-33      5.737    .4500   .000E+00       .000    .4500   .801E-40
       .557      -.254    .3270   .342E+00      1.825    .4500  -.199E-33      5.737    .4500   .000E+00       .000    .4500   .867E-40
       .561      -.245    .3326   .348E+00      1.824    .4500  -.236E-33      5.736    .4500   .000E+00       .000    .4500   .947E-40
       .564      -.235    .3381   .354E+00      1.823    .4500  -.279E-33      5.735    .4500   .000E+00       .000    .4500   .103E-39
       .567      -.226    .3436   .359E+00      1.821    .4500  -.328E-33      5.734    .4500   .000E+00       .000    .4500   .113E-39
